X_val,Y_val
0,1.39E+07
0.000109983,1.87E+07
0.000219965,1.45E+07
0.000329948,1.20E+07
0.00043993,1.04E+07
0.000549913,9.29E+06
0.000659895,8.56E+06
0.000769878,8.02E+06
0.00087986,7.52E+06
0.000989842,7.05E+06
0.00109983,6.66E+06
0.00120981,6.35E+06
0.00131979,6.12E+06
0.00142977,5.91E+06
0.00153976,5.74E+06
0.00164974,5.58E+06
0.00175972,5.47E+06
0.0018697,5.36E+06
0.00197968,5.26E+06
0.00208967,5.15E+06
0.00219965,5.07E+06
0.00230963,4.98E+06
0.00241961,4.90E+06
0.0025296,4.83E+06
0.00263958,4.79E+06
0.00274956,4.74E+06
0.00285954,4.68E+06
0.00296953,4.61E+06
0.00307951,4.56E+06
0.00318949,4.49E+06
0.00329947,4.45E+06
0.00340946,4.41E+06
0.00351944,4.38E+06
0.00362942,4.34E+06
0.0037394,4.32E+06
0.00384939,4.28E+06
0.00395937,4.25E+06
0.00406935,4.21E+06
0.00417934,4.19E+06
0.00428932,4.16E+06
0.0043993,4.15E+06
0.00450928,4.13E+06
0.00461926,4.11E+06
0.00472925,4.08E+06
0.00483923,4.06E+06
0.00494921,4.03E+06
0.0050592,4.02E+06
0.00516918,3.99E+06
0.00527916,3.99E+06
0.00538914,3.97E+06
0.00549912,3.97E+06
0.00560911,3.95E+06
0.00571909,3.94E+06
0.00582907,3.92E+06
0.00593905,3.91E+06
0.00604904,3.89E+06
0.00615902,3.88E+06
0.006269,3.86E+06
0.00637899,3.85E+06
0.00648897,3.83E+06
0.00659895,3.82E+06
0.00670893,3.80E+06
0.00681891,3.80E+06
0.0069289,3.78E+06
0.00703888,3.78E+06
0.00714886,3.76E+06
0.00725885,3.76E+06
0.00736883,3.75E+06
0.00747881,3.74E+06
0.00758879,3.73E+06
0.00769877,3.72E+06
0.00780876,3.71E+06
0.00791874,3.71E+06
0.00802872,3.70E+06
0.00813871,3.70E+06
0.00824869,3.69E+06
0.00835867,3.69E+06
0.00846865,3.68E+06
0.00857863,3.68E+06
0.00868862,3.67E+06
0.0087986,3.67E+06
0.00890858,3.66E+06
0.00901856,3.66E+06
0.00912855,3.66E+06
0.00923853,3.65E+06
0.00934851,3.65E+06
0.0094585,3.65E+06
0.00956848,3.64E+06
0.00967846,3.64E+06
0.00978844,3.64E+06
0.00989843,3.63E+06
0.0100084,3.63E+06
0.0101184,3.62E+06
0.0102284,3.62E+06
0.0103384,3.62E+06
0.0104483,3.61E+06
0.0105583,3.61E+06
0.0106683,3.61E+06
